Semaine;Chamonix (FR);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2020-01-12;87,00;48,00;27,00;28,00;9,00;36,00;17,00;44,00;31,00;8,00;10,00;20,00;4,00;91,19;3,14;30,40;27,25;1,00;20,00;12,00;2,00;10,00;10,00;2,00;39,00;28,00;15,00;11,00;1,00;3,00;6,00;3,00;0,00;11,00;2,00;1,00;0,00;0,00;1,00;0,00
2020-01-19;72,00;44,00;33,00;28,00;8,00;33,00;15,00;39,00;26,00;3,00;10,00;35,00;6,00;75,13;4,17;27,13;26,09;0,00;16,00;9,00;3,00;9,00;13,00;2,00;38,00;29,00;8,00;12,00;1,00;1,00;6,00;1,00;1,00;12,00;3,00;2,00;0,00;1,00;1,00;0,00
2020-01-26;86,00;56,00;27,00;25,00;7,00;27,00;15,00;41,00;26,00;3,00;6,00;18,00;2,00;75,64;4,14;19,69;29,01;1,00;15,00;8,00;2,00;8,00;5,00;1,00;27,00;22,00;4,00;21,00;0,00;2,00;6,00;1,00;0,00;8,00;1,00;1,00;0,00;0,00;1,00;0,00
2020-02-02;63,00;40,00;33,00;26,00;8,00;24,00;11,00;32,00;29,00;3,00;4,00;24,00;3,00;85,05;6,30;32,55;25,20;3,00;15,00;7,00;0,00;6,00;11,00;1,00;37,00;20,00;7,00;11,00;1,00;6,00;6,00;1,00;0,00;8,00;1,00;1,00;0,00;0,00;0,00;0,00
2020-02-09;79,00;40,00;30,00;35,00;10,00;23,00;11,00;37,00;31,00;4,00;7,00;21,00;4,00;69,64;7,28;22,87;28,07;2,00;18,00;10,00;4,00;6,00;11,00;2,00;36,00;16,00;11,00;11,00;1,00;2,00;6,00;2,00;1,00;10,00;2,00;2,00;2,00;0,00;0,00;1,00
2020-02-16;69,00;35,00;28,00;30,00;8,00;20,00;9,00;30,00;26,00;4,00;10,00;21,00;5,00;65,86;8,36;20,91;25,09;1,00;17,00;6,00;1,00;10,00;7,00;1,00;26,00;24,00;13,00;8,00;0,00;3,00;3,00;3,00;0,00;9,00;2,00;3,00;1,00;0,00;0,00;0,00
2020-02-23;65,00;37,00;27,00;24,00;7,00;23,00;6,00;31,00;33,00;5,00;8,00;19,00;2,00;58,81;5,16;15,48;23,73;1,00;13,00;7,00;1,00;9,00;10,00;1,00;31,00;19,00;7,00;11,00;1,00;4,00;5,00;1,00;0,00;20,00;3,00;1,00;1,00;0,00;1,00;0,00
2020-03-01;56,00;43,00;21,00;20,00;6,00;15,00;8,00;34,00;30,00;4,00;5,00;23,00;2,00;62,22;4,15;14,52;18,67;1,00;12,00;3,00;0,00;6,00;6,00;3,00;30,00;19,00;7,00;6,00;0,00;2,00;8,00;1,00;0,00;7,00;3,00;2,00;1,00;0,00;0,00;1,00
2020-03-08;65,00;57,00;37,00;30,00;8,00;31,00;9,00;67,00;32,00;3,00;10,00;36,00;4,00;87,70;6,19;11,35;24,76;1,00;18,00;10,00;4,00;9,00;7,00;0,00;43,00;30,00;7,00;7,00;2,00;3,00;7,00;1,00;1,00;12,00;1,00;1,00;0,00;0,00;1,00;0,00
2020-03-15;21,00;24,00;10,00;10,00;4,00;12,00;4,00;16,00;18,00;2,00;3,00;8,00;1,00;29,40;4,20;5,25;9,45;0,00;12,00;4,00;0,00;1,00;4,00;0,00;22,00;15,00;3,00;1,00;1,00;1,00;4,00;0,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00
2020-03-22;8,00;6,00;2,00;3,00;0,50;2,00;1,00;5,00;8,00;0,50;1,00;9,00;1,00;4,00;0,50;7,00;3,00;0,50;1,00;1,00;0,00;1,00;0,50;0,50;4,00;3,00;0,50;0,50;0,50;2,00;3,00;0,50;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2020-03-29;9,00;6,00;3,00;4,00;1,00;2,00;0,00;7,00;6,00;1,00;1,00;2,00;1,00;9,00;0,56;10,13;4,50;0,00;3,00;0,50;0,00;0,50;1,00;0,50;5,00;5,00;1,00;3,00;0,50;1,00;1,00;0,50;0,50;1,00;0,00;0,00;1,00;0,00;0,00;0,00
2020-04-05;11,00;7,00;4,00;5,00;1,00;4,00;1,00;2,00;10,00;1,00;0,00;3,00;1,00;8,00;1,00;9,00;2,00;0,00;4,00;2,00;0,00;0,00;1,00;0,00;3,00;5,00;1,00;1,00;0,00;0,00;3,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00
2020-04-12;11,00;6,00;3,00;4,00;0,50;0,50;1,00;8,00;15,00;0,50;1,00;5,00;2,00;12,00;0,50;7,00;1,00;0,50;1,00;2,00;0,00;0,00;2,00;1,00;5,00;5,00;1,00;1,00;0,00;2,00;2,00;0,00;0,50;1,00;2,00;1,00;0,00;0,00;0,00;0,00
2020-04-19;10,00;5,00;3,00;6,00;1,00;1,00;0,50;5,00;9,00;1,00;1,00;3,00;0,50;10,00;1,00;13,00;3,00;0,50;1,00;1,00;0,00;1,00;0,50;0,50;6,00;2,00;3,00;1,00;0,00;0,50;1,00;0,50;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;11,00;6,00;1,00;3,00;2,00;3,00;0,50;6,00;7,00;1,00;3,00;3,00;1,00;10,00;1,00;10,00;3,00;0,50;2,00;1,00;0,00;1,00;1,00;0,00;4,00;3,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;2,00;0,50;2,00;0,00;0,00;0,00;0,50
2020-05-03;13,00;6,00;2,00;5,00;1,00;1,00;0,50;3,00;12,00;0,50;1,00;7,00;2,00;5,00;1,00;10,00;5,00;0,50;1,00;2,00;0,00;0,50;3,00;0,50;6,00;4,00;1,00;3,00;0,00;2,00;2,00;0,00;0,00;2,00;1,00;0,50;0,50;0,00;0,00;0,00
2020-05-10;7,00;7,00;2,00;6,00;0,50;1,00;0,50;5,00;7,00;0,50;3,00;7,00;0,50;11,00;0,50;9,00;2,00;0,00;1,00;2,00;0,00;1,00;1,00;0,00;3,00;3,00;1,00;3,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00
2020-05-17;17,00;4,00;5,00;6,00;2,00;2,00;0,50;4,00;7,00;1,00;0,50;3,00;0,50;8,50;0,53;11,69;3,19;0,00;2,00;1,00;0,00;0,00;1,00;0,00;3,00;1,00;2,00;3,00;0,00;0,50;0,50;0,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00
