Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-12-01;40,00;7,37;3,16;0,00;40,00;7,00;0,00;0,00;0,00;11,00;0,00;15,00;0,00;7,00;4,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;7,00;11,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;33,00;3,19;7,45;3,19;14,90;0,00;0,00;14,00;7,00;11,00;0,00;11,00;4,00;0,00;4,00;11,00;11,00;14,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;7,00;14,00;4,00;0,00;0,00;0,00;7,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;56,00;0,00;4,23;0,00;11,62;4,00;0,00;4,00;0,00;4,00;0,00;7,00;0,00;0,00;15,00;11,00;4,00;19,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;11,00;7,00;7,00;7,00;4,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;53,00;0,00;4,24;0,00;34,98;9,00;0,00;0,00;0,00;18,00;0,00;18,00;4,00;22,00;0,00;13,00;9,00;26,00;4,00;0,00;0,00;4,00;0,00;9,00;0,00;0,00;13,00;26,00;9,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;97,00;8,43;12,65;4,22;63,26;4,00;4,00;0,00;0,00;13,00;0,00;46,00;0,00;21,00;8,00;17,00;4,00;21,00;4,00;8,00;0,00;4,00;0,00;17,00;4,00;8,00;0,00;17,00;4,00;0,00;4,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00
2020-01-05;49,00;13,85;7,46;0,00;42,61;7,00;0,00;0,00;0,00;7,00;4,00;32,00;0,00;4,00;4,00;11,00;4,00;7,00;0,00;18,00;4,00;4,00;0,00;7,00;0,00;0,00;14,00;25,00;7,00;0,00;7,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;55,00;3,17;7,40;0,00;10,58;7,00;3,00;3,00;0,00;10,00;0,00;48,00;17,00;14,00;3,00;0,00;3,00;7,00;0,00;3,00;0,00;0,00;0,00;7,00;0,00;7,00;7,00;10,00;3,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;59,00;0,00;10,54;3,16;34,77;3,00;0,00;14,00;0,00;17,00;0,00;17,00;0,00;10,00;3,00;14,00;17,00;14,00;0,00;0,00;7,00;0,00;3,00;0,00;0,00;10,00;3,00;14,00;24,00;3,00;3,00;0,00;3,00;0,00;7,00;7,00;0,00;0,00;0,00;0,00
2020-01-26;59,00;3,16;10,54;3,16;24,23;3,00;3,00;7,00;0,00;3,00;0,00;31,00;0,00;14,00;7,00;3,00;7,00;7,00;0,00;7,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;3,00;10,00;0,00;7,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;99,00;3,16;3,16;3,16;42,13;4,00;4,00;7,00;11,00;11,00;0,00;18,00;4,00;11,00;0,00;11,00;0,00;14,00;4,00;4,00;0,00;0,00;0,00;11,00;0,00;4,00;7,00;14,00;4,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
