Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2020-09-20;11,00;13,20;2,20;4,40;0,00;0,00;0,00;0,00;0,00;0,00;10,00;3,00;0,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00
2020-09-27;30,00;6,92;2,31;16,15;4,62;0,00;3,00;2,00;0,00;0,00;3,00;3,00;0,00;0,00;2,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-10-04;26,00;2,36;2,36;16,55;2,36;2,00;0,00;0,00;0,00;0,00;7,00;5,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2020-10-11;7,00;7,00;0,00;9,33;0,00;2,00;0,00;0,00;0,00;2,00;5,00;5,00;2,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-18;33,00;4,71;0,00;11,79;2,36;0,00;0,00;0,00;0,00;5,00;5,00;9,00;2,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2020-10-25;37,00;4,63;0,00;9,25;4,63;0,00;0,00;0,00;0,00;0,00;9,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-01;18,00;9,00;2,25;6,75;2,25;0,00;0,00;2,00;0,00;2,00;10,00;3,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-08;12,00;9,60;0,00;16,80;2,40;2,00;0,00;2,00;0,00;3,00;5,00;10,00;0,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2020-11-15;16,00;6,86;2,29;11,43;4,57;0,00;0,00;2,00;0,00;0,00;2,00;10,00;3,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00
2020-11-22;33,00;2,36;2,36;4,71;2,36;0,00;0,00;2,00;0,00;0,00;7,00;3,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;2,00
2020-11-29;22,00;8,80;2,20;4,40;2,20;0,00;0,00;0,00;0,00;2,00;10,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00
2020-12-06;11,00;8,80;0,00;4,40;2,20;2,00;0,00;0,00;0,00;0,00;0,00;5,00;2,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-12-13;22,00;4,89;0,00;12,22;2,44;0,00;0,00;0,00;2,00;3,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00
2020-12-20;21,00;4,67;0,00;4,67;2,33;0,00;0,00;2,00;2,00;0,00;4,00;9,00;2,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00
2020-12-27;22,00;17,60;2,20;6,60;2,20;0,00;2,00;4,00;0,00;5,00;4,00;7,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-03;20,00;2,22;2,22;8,89;2,22;0,00;0,00;0,00;2,00;2,00;5,00;7,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2021-01-10;21,00;7,00;2,33;18,67;2,33;0,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00
2021-01-17;22,00;6,60;2,20;4,40;0,00;0,00;0,00;0,00;0,00;7,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00
2021-01-24;14,00;2,33;0,00;9,33;7,00;0,00;0,00;3,00;2,00;3,00;2,00;3,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2021-01-31;16,00;11,43;4,57;2,29;2,29;2,00;0,00;0,00;2,00;0,00;3,00;5,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2021-02-07;14,00;4,67;2,33;16,33;2,33;2,00;0,00;2,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2021-02-14;16,00;9,14;0,00;9,14;2,29;2,00;0,00;2,00;0,00;2,00;3,00;10,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-02-21;11,00;6,60;2,20;8,80;2,20;0,00;0,00;0,00;0,00;3,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-02-28;11,00;6,60;2,20;11,00;4,40;0,00;0,00;0,00;2,00;0,00;2,00;8,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;2,00
2021-03-07;19,00;4,22;14,78;10,56;2,11;0,00;0,00;2,00;0,00;3,00;3,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-03-14;22,00;11,00;4,40;11,00;2,20;0,00;0,00;0,00;2,00;2,00;2,00;3,00;2,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00
2021-03-21;11,00;4,40;2,20;11,00;2,20;0,00;0,00;4,00;0,00;3,00;3,00;2,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00
