Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2021-01-03;0,00;0,00;0,00;6,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;29,00;0,00;0,00;0,00;12,00;0,00
2021-01-10;19,00;13,00;0,00;0,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;6,71;13,41;6,71;0,00;13,00;0,00;0,00
2021-01-17;38,00;6,00;13,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;13,03;19,54;6,51;0,00;0,00;0,00;6,00
2021-01-24;13,00;0,00;12,00;0,00;0,00;0,00;0,00;26,00;0,00;6,00;0,00;6,00;0,00;0,00;7,09;27,18;7,09;0,00;6,00;6,00;0,00
2021-01-31;13,00;6,00;6,00;6,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;0,00;6,00;0,00;6,50;6,50;0,00;0,00;6,00;6,00;0,00
2021-02-07;0,00;6,00;6,00;0,00;0,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;29,00;0,00;0,00;0,00;0,00;6,00
2021-02-14;7,00;0,00;6,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;14,00;7,00;0,00;0,00;6,00;6,00;0,00
2021-02-21;13,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,50;0,00;0,00;0,00;0,00;0,00;0,00
2021-02-28;20,00;13,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;6,00;13,00;0,00;0,00;0,00;13,33;13,33;0,00;0,00;0,00;0,00;0,00
2021-03-07;33,00;19,00;0,00;0,00;0,00;0,00;0,00;27,00;0,00;13,00;0,00;0,00;0,00;0,00;6,60;13,20;0,00;0,00;0,00;0,00;13,00
2021-03-14;25,00;0,00;0,00;0,00;6,00;0,00;0,00;32,00;0,00;0,00;0,00;6,00;6,00;0,00;6,52;31,52;6,52;0,00;0,00;0,00;6,00
2021-03-21;26,00;13,00;7,00;0,00;0,00;0,00;0,00;20,00;0,00;6,00;0,00;0,00;0,00;6,50;6,50;13,00;0,00;13,00;13,00;0,00;13,00
2021-03-28;13,00;0,00;6,00;0,00;0,00;0,00;0,00;41,00;0,00;6,00;0,00;0,00;0,00;0,00;6,50;13,00;0,00;0,00;0,00;0,00;6,00
2021-04-04;13,00;13,00;0,00;6,00;0,00;0,00;6,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;13,00;0,00;0,00;0,00;6,00;6,00
2021-04-11;19,00;0,00;13,00;6,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;19,00;0,00;0,00;6,71;6,71;0,00;6,00;50,00;13,00
2021-04-18;19,00;13,00;0,00;0,00;0,00;0,00;0,00;39,00;0,00;0,00;0,00;0,00;6,00;0,00;6,71;6,71;0,00;0,00;6,00;12,00;0,00
2021-04-25;31,00;12,00;12,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;18,17;0,00;0,00;0,00;0,00;0,00
2021-05-02;13,00;6,00;0,00;13,00;0,00;0,00;0,00;20,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;13,00;19,00;0,00
2021-05-09;0,00;0,00;7,00;7,00;0,00;0,00;0,00;14,00;0,00;7,00;0,00;0,00;0,00;0,00;12,00;0,00;6,00;0,00;0,00;0,00;0,00
2021-05-16;33,00;6,00;0,00;6,00;6,00;0,00;0,00;40,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;26,40;0,00;0,00;6,00;0,00;6,00
2021-05-23;20,00;13,00;6,00;0,00;0,00;0,00;0,00;54,00;0,00;0,00;0,00;0,00;6,00;0,00;6,67;26,67;0,00;13,00;0,00;6,00;0,00
2021-05-30;46,00;6,00;6,00;6,00;0,00;6,00;0,00;34,00;0,00;0,00;0,00;0,00;0,00;19,07;0,00;20,20;6,73;0,00;0,00;0,00;13,00
2021-06-06;7,00;0,00;6,00;0,00;0,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;7,00;7,00;28,00;0,00;0,00;0,00;13,00;0,00
2021-06-13;6,00;6,00;6,00;6,00;0,00;0,00;0,00;40,00;6,00;0,00;0,00;0,00;0,00;6,00;17,00;18,00;0,00;0,00;0,00;6,00;0,00
2021-06-20;27,00;7,00;0,00;7,00;0,00;0,00;0,00;14,00;0,00;7,00;0,00;0,00;7,00;0,00;6,75;13,50;0,00;0,00;13,00;0,00;7,00
2021-06-27;20,00;7,00;0,00;13,00;0,00;0,00;0,00;49,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;42,22;0,00;0,00;0,00;13,00;7,00
2021-07-04;7,00;7,00;13,00;0,00;0,00;0,00;0,00;35,00;0,00;0,00;7,00;0,00;7,00;0,00;14,00;15,17;0,00;0,00;13,00;20,00;0,00
2021-07-11;14,00;14,00;20,00;0,00;0,00;7,00;0,00;21,00;0,00;13,00;0,00;0,00;7,00;14,00;7,00;37,33;0,00;0,00;0,00;0,00;0,00
2021-07-18;36,00;0,00;29,00;0,00;0,00;7,00;7,00;37,00;0,00;7,00;0,00;0,00;7,00;0,00;0,00;14,18;7,64;0,00;0,00;0,00;14,00
2021-07-25;7,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;37,33;8,17;0,00;7,00;0,00;0,00
2021-08-01;14,00;7,00;0,00;7,00;0,00;0,00;0,00;7,00;7,00;7,00;0,00;0,00;0,00;0,00;6,46;14,00;15,08;0,00;0,00;0,00;0,00
2021-08-08;0,00;0,00;14,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;7,00;0,00
2021-08-15;42,00;0,00;21,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;13,26;0,00;43,11;0,00;0,00;14,00;7,00;0,00
2021-08-22;36,00;14,00;14,00;0,00;7,00;0,00;0,00;51,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,25;7,88;0,00;0,00;0,00;7,00
2021-08-29;21,00;7,00;14,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;21,00;0,00;6,63;22,11;0,00;0,00;0,00;0,00;0,00
2021-09-05;7,00;7,00;21,00;0,00;0,00;0,00;0,00;22,00;7,00;0,00;0,00;0,00;0,00;6,00;13,00;27,00;0,00;0,00;0,00;0,00;7,00
2021-09-12;28,00;0,00;14,00;0,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;7,00;0,00;0,00;14,00;14,00;0,00;0,00;7,00;7,00;0,00
2021-09-19;14,00;7,00;7,00;7,00;0,00;0,00;7,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;14,00;0,00;0,00;0,00;7,00
