Semaine;Chamonix (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT)
2019-12-15;55,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;4,00;4,00;0,00;13,00;0,00;0,00;0,00;9,00;9,00;0,00;0,00;13,00;75,00;4,00;0,00;9,00;9,00;4,00;13,00;0,00;4,00
2019-12-22;45,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;10,00;5,00;5,00;0,00;0,00;9,00;0,00;5,00;0,00;14,00;5,00;0,00;0,00;0,00;34,00;0,00;5,00;9,00;14,00;24,00;14,00;5,00;19,00;53,00;9,00;9,00;33,00;5,00;19,00;28,00;0,00;19,00
2019-12-29;69,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;5,00;5,00;0,00;0,00;9,00;4,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;9,00;0,00;40,00;4,00;0,00;4,00;9,00;0,00;9,00;4,00;18,00;53,00;9,00;9,00;22,00;0,00;26,00;0,00;0,00;9,00
2020-01-05;39,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21,00;8,00;0,00;0,00;0,00;0,00;4,00;8,00;0,00;17,00;0,00;4,00;4,00;0,00;29,00;0,00;0,00;0,00;4,00;4,00;4,00;0,00;33,00;63,00;8,00;0,00;8,00;12,00;16,00;4,00;8,00;0,00
2020-01-12;50,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00;4,00;0,00;28,00;8,00;8,00;0,00;8,00;8,00;0,00;12,00;0,00;12,00;4,00;0,00;8,00;8,00;28,00;0,00;0,00;12,00;28,00;4,00;4,00;0,00;24,00;48,00;4,00;8,00;4,00;4,00;16,00;12,00;4,00;4,00
2020-01-19;82,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;12,00;12,00;4,00;8,00;4,00;0,00;16,00;0,00;8,00;8,00;4,00;0,00;4,00;46,00;0,00;4,00;4,00;29,00;0,00;8,00;0,00;41,00;70,00;8,00;4,00;0,00;8,00;16,00;12,00;4,00;16,00
2020-01-26;43,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;4,00;33,00;4,00;0,00;4,00;29,00;0,00;0,00;0,00;21,00;33,00;8,00;4,00;12,00;4,00;20,00;4,00;12,00;4,00
2020-02-02;82,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;8,00;4,00;8,00;0,00;0,00;4,00;0,00;8,00;0,00;0,00;0,00;4,00;8,00;0,00;17,00;0,00;0,00;12,00;8,00;8,00;0,00;0,00;17,00;58,00;4,00;4,00;17,00;0,00;8,00;4,00;0,00;0,00
2020-02-09;64,00;0,00;0,00;0,00;0,00;4,00;8,00;0,00;0,00;4,00;8,00;0,00;0,00;4,00;4,00;0,00;4,00;4,00;4,00;4,00;0,00;4,00;0,00;0,00;12,00;4,00;41,00;0,00;4,00;8,00;12,00;4,00;4,00;4,00;16,00;37,00;16,00;12,00;12,00;0,00;16,00;12,00;0,00;4,00
2020-02-16;43,00;0,00;0,00;0,00;4,00;8,00;0,00;0,00;4,00;8,00;0,00;0,00;25,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;41,00;12,00;0,00;8,00;0,00;0,00;0,00;4,00;12,00;49,00;8,00;12,00;16,00;0,00;4,00;8,00;4,00;4,00
2020-02-23;65,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;4,00;8,00;4,00;0,00;8,00;0,00;12,00;0,00;8,00;0,00;0,00;27,00;0,00;39,00;0,00;0,00;4,00;19,00;0,00;11,00;8,00;12,00;35,00;11,00;8,00;12,00;0,00;4,00;0,00;0,00;0,00
2020-03-01;29,00;0,00;0,00;0,00;0,00;8,00;4,00;0,00;0,00;8,00;4,00;0,00;8,00;4,00;12,00;4,00;0,00;4,00;0,00;12,00;0,00;8,00;4,00;4,00;12,00;4,00;20,00;0,00;0,00;8,00;8,00;4,00;15,00;0,00;8,00;39,00;19,00;12,00;4,00;0,00;19,00;15,00;8,00;8,00
