Semaine;Nice (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA)
2019-12-15;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;2,00;2,00;2,00;0,00;0,00;2,00;0,00;2,00;0,00;6,00;9,00;7,00;11,00;6,00;2,00;2,00;6,00;69,00;7,67;0,00;11,50
2019-12-22;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;7,00;6,00;4,00;2,00;2,00;0,00;4,00;0,00;6,00;4,00;4,00;0,00;13,00;13,00;2,00;35,00;0,00;2,00;0,00;13,00;80,67;7,33;0,00;7,33
2019-12-29;29,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;6,00;2,00;6,00;0,00;2,00;2,00;2,00;0,00;0,00;2,00;4,00;0,00;20,00;23,00;8,00;67,00;2,00;0,00;0,00;23,00;119,63;3,63;0,00;10,88
2020-01-05;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;2,00;11,00;2,00;2,00;10,00;0,00;2,00;0,00;3,00;4,00;9,00;7,00;0,00;28,00;7,00;14,00;40,00;7,00;0,00;4,00;25,00;144,00;12,00;0,00;16,00
2020-01-12;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;17,00;3,00;3,00;3,00;0,00;2,00;0,00;3,00;2,00;5,00;3,00;2,00;27,00;20,00;8,00;47,00;12,00;2,00;0,00;24,00;148,57;11,14;0,00;7,43
2020-01-19;22,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;13,00;5,00;5,00;2,00;2,00;2,00;0,00;0,00;11,00;11,00;4,00;0,00;30,00;11,00;7,00;64,00;14,00;2,00;7,00;9,00;165,00;11,00;0,00;11,00
2020-01-26;39,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;7,00;5,00;5,00;2,00;5,00;0,00;5,00;0,00;5,00;7,00;4,00;0,00;24,00;18,00;14,00;41,00;5,00;0,00;2,00;19,00;138,27;3,55;0,00;7,09
2020-02-02;27,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;5,00;5,00;4,00;7,00;0,00;0,00;0,00;4,00;2,00;9,00;7,00;0,00;22,00;11,00;16,00;56,00;4,00;4,00;5,00;19,00;111,86;3,86;0,00;11,57
2020-02-09;34,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;13,00;4,00;2,00;4,00;0,00;2,00;4,00;0,00;6,00;9,00;2,00;0,00;27,00;24,00;15,00;70,00;4,00;0,00;4,00;17,00;181,33;7,56;0,00;11,33
2020-02-16;42,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;11,00;4,00;4,00;5,00;4,00;2,00;4,00;2,00;7,00;12,00;2,00;2,00;30,00;14,00;4,00;54,00;9,00;0,00;2,00;19,00;171,82;3,82;0,00;7,64
