Semaine;Chamonix (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT)
2019-12-01;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00;0,00;0,00;41,00;8,00;0,00;0,00;8,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;8,00;0,00;8,00;0,00;15,00;0,00;9,00;0,00;9,00;0,00;48,00;15,00;9,60;14,40;57,60;0,00;64,00;16,00;0,00;64,00
2019-12-08;24,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;7,38;0,00;7,38;24,00;8,00;16,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;39,00;15,00;0,00;24,00;15,00;9,00;90,00;0,00;33,60;0,00;48,00;0,00;56,00;16,00;16,00;56,00
2019-12-15;50,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;17,31;34,62;0,00;7,69;17,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;17,00;0,00;32,35;17,65;8,82;50,00;8,82;0,00;50,00;17,65;25,00;0,00;150,00;0,00;50,00;35,71;0,00;71,43
2019-12-22;29,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;38,67;0,00;19,33;29,00;19,00;10,00;0,00;0,00;10,00;0,00;19,00;0,00;10,00;19,00;0,00;0,00;10,00;0,00;10,00;75,40;8,70;55,10;37,70;17,40;0,00;159,50;37,70;106,33;0,00;178,83;0,00;50,75;79,75;7,25;101,50
2019-12-29;86,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26,76;68,80;0,00;9,56;26,00;0,00;9,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;26,00;9,00;0,00;9,00;9,00;34,00;41,52;26,69;68,21;26,69;35,59;0,00;109,72;17,79;33,44;9,56;258,00;0,00;86,00;14,33;14,33;136,17
2020-01-05;71,00;0,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;78,47;0,00;0,00;47,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32,00;0,00;16,00;0,00;16,00;0,00;62,13;0,00;295,83;47,33;62,13;0,00;171,58;32,54;61,53;23,67;298,20;0,00;120,70;56,80;7,10;92,30
2020-01-12;53,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;90,86;0,00;7,57;38,00;0,00;15,00;0,00;8,00;8,00;8,00;0,00;0,00;8,00;8,00;0,00;23,00;0,00;15,00;0,00;150,17;0,00;170,78;58,89;61,83;8,83;88,33;23,56;38,55;24,09;212,00;0,00;39,75;26,50;26,50;39,75
2020-01-19;40,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,62;80,00;0,00;0,00;40,00;0,00;16,00;0,00;0,00;8,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;8,00;32,00;8,00;104,62;0,00;33,85;64,62;33,85;9,23;163,08;24,62;115,00;10,00;170,00;0,00;93,33;66,67;40,00;80,00
2020-01-26;63,00;0,00;0,00;0,00;31,00;0,00;0,00;0,00;0,00;55,36;0,00;7,64;16,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;8,00;0,00;8,00;16,00;8,00;0,00;78,00;9,00;39,00;72,00;72,00;9,00;87,00;24,00;53,31;14,54;310,15;0,00;140,00;84,00;56,00;98,00
2020-02-02;48,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,68;113,28;0,00;0,00;71,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;40,00;0,00;16,00;8,00;24,00;0,00;111,00;0,00;24,00;129,00;90,00;15,00;111,00;15,00;48,00;38,40;307,20;9,60;219,43;61,71;0,00;164,57
2020-02-09;42,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;7,64;59,18;0,00;7,64;66,00;8,00;50,00;0,00;0,00;17,00;0,00;0,00;0,00;8,00;8,00;0,00;8,00;0,00;8,00;8,00;150,00;9,00;33,00;24,00;51,00;9,00;174,00;24,00;65,33;9,33;228,67;9,33;126,00;49,00;0,00;112,00
2020-02-16;40,00;0,00;0,00;0,00;32,00;0,00;0,00;0,00;7,62;40,00;0,00;7,62;47,00;0,00;8,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;16,00;0,00;0,00;8,00;40,00;0,00;58,46;15,38;9,23;73,85;9,23;0,00;138,46;15,38;15,00;0,00;215,00;0,00;73,33;40,00;6,67;133,33
2020-02-23;61,00;0,00;0,00;0,00;15,00;0,00;8,00;0,00;0,00;30,50;0,00;0,00;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;8,00;8,00;0,00;8,00;8,00;0,00;30,50;0,00;24,40;39,65;15,25;0,00;100,65;9,15;9,38;0,00;131,38;9,38;47,44;47,44;6,78;61,00
2020-03-01;70,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;47,30;0,00;0,00;8,00;0,00;8,00;0,00;0,00;8,00;0,00;8,00;0,00;8,00;0,00;15,00;0,00;8,00;0,00;0,00;45,65;0,00;15,22;15,22;9,13;0,00;149,13;24,35;46,67;0,00;93,33;0,00;14,00;49,00;0,00;98,00
2020-03-08;45,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;22,50;52,50;0,00;0,00;7,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;7,00;0,00;15,00;0,00;21,00;0,00;6,00;30,00;15,00;0,00;186,00;9,00;40,00;10,00;195,00;15,00;90,00;30,00;7,50;592,50
2020-03-15;15,00;0,00;0,00;0,00;30,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;30,00;0,00;15,00;9,00;0,00;0,00;45,00;0,00;10,00;10,00;35,00;0,00;15,00;15,00;0,00;150,00
2020-03-22;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;6,00;0,00;6,00;6,00;0,00;0,00;21,00;0,00;25,00;0,00;25,00;0,00;45,00;7,50;0,00;45,00
2020-03-29;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;7,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;7,00;0,00;17,50;0,00;0,00;0,00;0,00;0,00;17,50;0,00;28,00;7,00;42,00;0,00;14,00;7,00;7,00;28,00
